#,startOfYear,lastUpdate,dateDiff
421,2015-01-01,2024-06-28,9
422,2016-01-01,2024-06-28,8
423,2017-01-01,2024-06-28,7
424,2018-01-01,2024-06-28,6
425,2019-01-01,2024-06-28,5
426,2020-01-01,2024-06-28,4
427,2021-01-01,2024-06-28,3
428,2022-01-01,2024-06-28,2
429,1980-01-01,2024-06-28,44
430,1981-01-01,2024-06-28,43
431,1982-01-01,2024-06-28,42
432,1983-01-01,2024-06-28,41
433,1984-01-01,2024-06-28,40
434,1985-01-01,2024-06-28,39
435,1986-01-01,2024-06-28,38
436,1987-01-01,2024-06-28,37
437,1988-01-01,2024-06-28,36
438,1989-01-01,2024-06-28,35
439,1990-01-01,2024-06-28,34
440,1991-01-01,2024-06-28,33
441,1992-01-01,2024-06-28,32
442,1993-01-01,2024-06-28,31
443,1994-01-01,2024-06-28,30
444,1995-01-01,2024-06-28,29
445,1996-01-01,2024-06-28,28
446,1997-01-01,2024-06-28,27
447,1998-01-01,2024-06-28,26
448,1999-01-01,2024-06-28,25
449,2000-01-01,2024-06-28,24
450,2001-01-01,2024-06-28,23
451,2002-01-01,2024-06-28,22
452,2003-01-01,2024-06-28,21
453,2004-01-01,2024-06-28,20
454,2005-01-01,2024-06-28,19
455,2006-01-01,2024-06-28,18
456,2007-01-01,2024-06-28,17
457,2008-01-01,2024-06-28,16
458,2009-01-01,2024-06-28,15
459,2010-01-01,2024-06-28,14
460,2011-01-01,2024-06-28,13
461,2012-01-01,2024-06-28,12
462,2013-01-01,2024-06-28,11
463,2014-01-01,2024-06-28,10
464,2015-01-01,2024-06-28,9
465,2016-01-01,2024-06-28,8
466,2017-01-01,2024-06-28,7
467,2018-01-01,2024-06-28,6
468,2019-01-01,2024-06-28,5
469,2020-01-01,2024-06-28,4
470,2021-01-01,2024-06-28,3
471,2022-01-01,2024-06-28,2
472,1991-01-01,2024-06-28,33
473,1992-01-01,2024-06-28,32
474,1993-01-01,2024-06-28,31
475,1994-01-01,2024-06-28,30
476,1995-01-01,2024-06-28,29
477,1996-01-01,2024-06-28,28
478,1997-01-01,2024-06-28,27
479,1998-01-01,2024-06-28,26
480,1999-01-01,2024-06-28,25
481,2000-01-01,2024-06-28,24
482,2001-01-01,2024-06-28,23
483,2002-01-01,2024-06-28,22
484,2003-01-01,2024-06-28,21
485,2004-01-01,2024-06-28,20
486,2005-01-01,2024-06-28,19
487,2006-01-01,2024-06-28,18
488,2007-01-01,2024-06-28,17
489,2008-01-01,2024-06-28,16
490,2009-01-01,2024-06-28,15
491,2010-01-01,2024-06-28,14
492,2011-01-01,2024-06-28,13
493,2012-01-01,2024-06-28,12
494,2013-01-01,2024-06-28,11
495,2014-01-01,2024-06-28,10
496,2015-01-01,2024-06-28,9
497,2016-01-01,2024-06-28,8
498,2017-01-01,2024-06-28,7
499,2018-01-01,2024-06-28,6
500,2019-01-01,2024-06-28,5
501,2020-01-01,2024-06-28,4
502,1980-01-01,2024-06-28,44
503,1981-01-01,2024-06-28,43
504,1982-01-01,2024-06-28,42
505,1983-01-01,2024-06-28,41
506,1984-01-01,2024-06-28,40
507,1985-01-01,2024-06-28,39
508,1986-01-01,2024-06-28,38
509,1987-01-01,2024-06-28,37
510,1988-01-01,2024-06-28,36
511,1989-01-01,2024-06-28,35
512,1990-01-01,2024-06-28,34
513,2021-01-01,2024-06-28,3
514,2022-01-01,2024-06-28,2
515,1949-01-01,2024-06-28,75
516,1950-01-01,2024-06-28,74
517,1951-01-01,2024-06-28,73
518,1952-01-01,2024-06-28,72
519,1953-01-01,2024-06-28,71
520,1954-01-01,2024-06-28,70
521,1955-01-01,2024-06-28,69
522,1956-01-01,2024-06-28,68
523,1957-01-01,2024-06-28,67
524,1958-01-01,2024-06-28,66
525,1959-01-01,2024-06-28,65
526,1960-01-01,2024-06-28,64
527,1961-01-01,2024-06-28,63
528,1962-01-01,2024-06-28,62
529,1963-01-01,2024-06-28,61
530,1964-01-01,2024-06-28,60
531,1965-01-01,2024-06-28,59
532,1966-01-01,2024-06-28,58
533,1967-01-01,2024-06-28,57
534,1968-01-01,2024-06-28,56
535,1969-01-01,2024-06-28,55
536,1970-01-01,2024-06-28,54
537,1971-01-01,2024-06-28,53
538,1972-01-01,2024-06-28,52
539,1973-01-01,2024-06-28,51
540,1974-01-01,2024-06-28,50
541,1975-01-01,2024-06-28,49
542,1976-01-01,2024-06-28,48
543,1977-01-01,2024-06-28,47
544,1978-01-01,2024-06-28,46
545,1979-01-01,2024-06-28,45
546,1980-01-01,2024-06-28,44
547,1981-01-01,2024-06-28,43
548,1982-01-01,2024-06-28,42
549,1983-01-01,2024-06-28,41
550,1984-01-01,2024-06-28,40
551,1985-01-01,2024-06-28,39
552,1986-01-01,2024-06-28,38
553,1987-01-01,2024-06-28,37
554,1988-01-01,2024-06-28,36
555,1989-01-01,2024-06-28,35
556,1990-01-01,2024-06-28,34
557,1991-01-01,2024-06-28,33
558,1992-01-01,2024-06-28,32
559,1993-01-01,2024-06-28,31
560,1994-01-01,2024-06-28,30
561,1995-01-01,2024-06-28,29
562,1996-01-01,2024-06-28,28
563,1997-01-01,2024-06-28,27
564,1998-01-01,2024-06-28,26
565,1999-01-01,2024-06-28,25
566,2000-01-01,2024-06-28,24
567,2001-01-01,2024-06-28,23
568,2002-01-01,2024-06-28,22
569,2003-01-01,2024-06-28,21
570,2004-01-01,2024-06-28,20
571,2005-01-01,2024-06-28,19
572,2006-01-01,2024-06-28,18
573,2007-01-01,2024-06-28,17
574,2008-01-01,2024-06-28,16
575,2009-01-01,2024-06-28,15
576,2010-01-01,2024-06-28,14
577,2011-01-01,2024-06-28,13
578,2012-01-01,2024-06-28,12
579,2013-01-01,2024-06-28,11
580,2014-01-01,2024-06-28,10
581,2015-01-01,2024-06-28,9
582,2016-01-01,2024-06-28,8
583,2017-01-01,2024-06-28,7
584,2018-01-01,2024-06-28,6
585,2019-01-01,2024-06-28,5
586,2020-01-01,2024-06-28,4
587,2021-01-01,2024-06-28,3
588,1980-01-01,2024-06-28,44
589,1981-01-01,2024-06-28,43
590,1982-01-01,2024-06-28,42
591,1983-01-01,2024-06-28,41
592,1984-01-01,2024-06-28,40
593,1985-01-01,2024-06-28,39
594,1986-01-01,2024-06-28,38
595,1987-01-01,2024-06-28,37
596,1988-01-01,2024-06-28,36
597,1989-01-01,2024-06-28,35
598,1990-01-01,2024-06-28,34
599,1991-01-01,2024-06-28,33
600,1992-01-01,2024-06-28,32
601,1993-01-01,2024-06-28,31
602,1994-01-01,2024-06-28,30
603,1995-01-01,2024-06-28,29
604,1996-01-01,2024-06-28,28
605,1997-01-01,2024-06-28,27
606,1998-01-01,2024-06-28,26
607,1999-01-01,2024-06-28,25
608,2000-01-01,2024-06-28,24
609,2001-01-01,2024-06-28,23
610,2002-01-01,2024-06-28,22
611,2003-01-01,2024-06-28,21
612,2004-01-01,2024-06-28,20
613,2005-01-01,2024-06-28,19
614,2006-01-01,2024-06-28,18
615,2007-01-01,2024-06-28,17
616,2008-01-01,2024-06-28,16
617,2009-01-01,2024-06-28,15
618,2010-01-01,2024-06-28,14
619,2011-01-01,2024-06-28,13
620,2012-01-01,2024-06-28,12
621,2013-01-01,2024-06-28,11
622,2014-01-01,2024-06-28,10
623,2015-01-01,2024-06-28,9
624,2016-01-01,2024-06-28,8
625,2017-01-01,2024-06-28,7
626,2018-01-01,2024-06-28,6
627,2019-01-01,2024-06-28,5
628,2020-01-01,2024-06-28,4
629,2021-01-01,2024-06-28,3
630,2022-01-01,2024-06-28,2
631,1972-01-01,2024-06-28,52
632,1977-01-01,2024-06-28,47
633,1978-01-01,2024-06-28,46
634,1979-01-01,2024-06-28,45
635,1980-01-01,2024-06-28,44
636,1981-01-01,2024-06-28,43
637,1982-01-01,2024-06-28,42
638,1983-01-01,2024-06-28,41
639,1984-01-01,2024-06-28,40
640,1985-01-01,2024-06-28,39
641,1986-01-01,2024-06-28,38
642,1987-01-01,2024-06-28,37
643,1988-01-01,2024-06-28,36
644,1989-01-01,2024-06-28,35
645,1990-01-01,2024-06-28,34
646,1991-01-01,2024-06-28,33
647,1992-01-01,2024-06-28,32
648,1993-01-01,2024-06-28,31
649,1994-01-01,2024-06-28,30
650,1995-01-01,2024-06-28,29
651,1996-01-01,2024-06-28,28
652,1997-01-01,2024-06-28,27
653,1998-01-01,2024-06-28,26
654,1999-01-01,2024-06-28,25
655,2000-01-01,2024-06-28,24
656,2001-01-01,2024-06-28,23
657,2002-01-01,2024-06-28,22
658,2003-01-01,2024-06-28,21
659,2004-01-01,2024-06-28,20
660,2005-01-01,2024-06-28,19
661,2006-01-01,2024-06-28,18
662,2007-01-01,2024-06-28,17
663,2008-01-01,2024-06-28,16
664,2009-01-01,2024-06-28,15
665,2010-01-01,2024-06-28,14
666,2011-01-01,2024-06-28,13
667,2012-01-01,2024-06-28,12
668,2013-01-01,2024-06-28,11
669,2014-01-01,2024-06-28,10
670,2015-01-01,2024-06-28,9
671,2016-01-01,2024-06-28,8
672,2017-01-01,2024-06-28,7
673,2018-01-01,2024-06-28,6
674,2019-01-01,2024-06-28,5
675,2020-01-01,2024-06-28,4
676,2021-01-01,2024-06-28,3
677,2022-01-01,2024-06-28,2
678,1991-01-01,2024-06-28,33
679,1992-01-01,2024-06-28,32
680,1993-01-01,2024-06-28,31
681,1994-01-01,2024-06-28,30
682,1995-01-01,2024-06-28,29
683,1996-01-01,2024-06-28,28
684,1997-01-01,2024-06-28,27
685,1998-01-01,2024-06-28,26
686,1999-01-01,2024-06-28,25
687,2000-01-01,2024-06-28,24
688,2001-01-01,2024-06-28,23
689,2002-01-01,2024-06-28,22
690,2003-01-01,2024-06-28,21
691,2004-01-01,2024-06-28,20
692,2005-01-01,2024-06-28,19
693,2006-01-01,2024-06-28,18
694,2007-01-01,2024-06-28,17
695,2008-01-01,2024-06-28,16
696,2009-01-01,2024-06-28,15
697,2010-01-01,2024-06-28,14
698,2011-01-01,2024-06-28,13
699,2012-01-01,2024-06-28,12
700,2013-01-01,2024-06-28,11
701,2014-01-01,2024-06-28,10
702,2015-01-01,2024-06-28,9
703,2016-01-01,2024-06-28,8
704,2017-01-01,2024-06-28,7
705,2018-01-01,2024-06-28,6
706,2019-01-01,2024-06-28,5
707,2020-01-01,2024-06-28,4
708,1980-01-01,2024-06-28,44
709,1981-01-01,2024-06-28,43
710,1982-01-01,2024-06-28,42
711,1983-01-01,2024-06-28,41
712,1984-01-01,2024-06-28,40
713,1985-01-01,2024-06-28,39
714,1986-01-01,2024-06-28,38
715,1987-01-01,2024-06-28,37
716,1988-01-01,2024-06-28,36
717,1989-01-01,2024-06-28,35
718,1990-01-01,2024-06-28,34
719,2021-01-01,2024-06-28,3
720,2022-01-01,2024-06-28,2
721,1980-01-01,2024-06-28,44
722,1981-01-01,2024-06-28,43
723,1982-01-01,2024-06-28,42
724,1983-01-01,2024-06-28,41
725,1984-01-01,2024-06-28,40
726,1985-01-01,2024-06-28,39
727,1986-01-01,2024-06-28,38
728,1987-01-01,2024-06-28,37
729,1988-01-01,2024-06-28,36
730,1989-01-01,2024-06-28,35
731,1990-01-01,2024-06-28,34
732,1991-01-01,2024-06-28,33
733,1992-01-01,2024-06-28,32
734,1993-01-01,2024-06-28,31
735,1994-01-01,2024-06-28,30
736,1995-01-01,2024-06-28,29
737,1996-01-01,2024-06-28,28
738,1997-01-01,2024-06-28,27
739,1998-01-01,2024-06-28,26
740,1999-01-01,2024-06-28,25
741,2000-01-01,2024-06-28,24
742,2001-01-01,2024-06-28,23
743,2002-01-01,2024-06-28,22
744,2003-01-01,2024-06-28,21
745,2004-01-01,2024-06-28,20
746,2005-01-01,2024-06-28,19
747,2006-01-01,2024-06-28,18
748,2007-01-01,2024-06-28,17
749,2008-01-01,2024-06-28,16
750,2010-01-01,2024-06-28,14
751,2009-01-01,2024-06-28,15
752,2011-01-01,2024-06-28,13
753,2012-01-01,2024-06-28,12
754,2013-01-01,2024-06-28,11
755,2014-01-01,2024-06-28,10
756,2015-01-01,2024-06-28,9
757,2016-01-01,2024-06-28,8
758,2017-01-01,2024-06-28,7
759,2018-01-01,2024-06-28,6
760,2019-01-01,2024-06-28,5
761,2020-01-01,2024-06-28,4
762,2021-01-01,2024-06-28,3
763,2022-01-01,2024-06-28,2
764,1980-01-01,2024-06-28,44
765,1981-01-01,2024-06-28,43
766,1982-01-01,2024-06-28,42
767,1983-01-01,2024-06-28,41
768,1984-01-01,2024-06-28,40
769,1985-01-01,2024-06-28,39
770,1986-01-01,2024-06-28,38
771,1987-01-01,2024-06-28,37
772,1988-01-01,2024-06-28,36
773,1989-01-01,2024-06-28,35
774,1990-01-01,2024-06-28,34
